#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 921: Elk Cabin, NM
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Elk Cabin (921) 
# New Mexico  SNOTEL Site - 8239 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 3, 2022 8:04:01 AM GMT-08:00
#
Water Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
,,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1997,01,0.0,1.4,0.8,1.0,2.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0
1997,02,0.0,1.3,0.8,1.0,2.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0
1997,03,0.0,1.4,0.8,0.9,2.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0
1997,04,0.0,1.3,0.8,0.6,2.8,4.4,0.0,0.0,0.0,0.0,0.0,0.0
1997,05,0.0,1.1,0.8,0.5,2.8,4.4,0.3,0.0,0.0,0.0,0.0,0.0
1997,06,0.0,1.1,0.9,1.1,2.9,4.3,0.5,0.0,0.0,0.0,0.0,0.0
1997,07,0.0,1.1,1.0,1.1,3.2,4.3,0.5,0.0,0.0,0.0,0.0,0.0
1997,08,0.0,1.1,1.0,1.1,3.2,4.3,0.5,0.0,0.0,0.0,0.0,0.0
1997,09,0.0,1.0,1.0,1.1,3.2,4.3,0.5,0.0,0.0,0.0,0.0,0.0
1997,10,0.0,1.0,1.0,1.3,3.2,4.3,0.4,0.0,0.0,0.0,0.0,0.0
1997,11,0.0,0.8,1.0,1.3,3.2,4.2,0.1,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.7,1.0,1.4,3.2,4.1,0.1,0.0,0.0,0.0,0.0,0.0
1997,13,0.0,0.5,1.0,1.5,3.2,3.9,0.2,0.0,0.0,0.0,0.0,0.0
1997,14,0.0,0.4,1.0,1.6,3.3,3.7,0.3,0.0,0.0,0.0,0.0,0.0
1997,15,0.0,0.3,1.0,1.8,3.3,3.6,0.3,0.0,0.0,0.0,0.0,0.0
1997,16,0.0,0.4,1.0,1.8,3.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0
1997,17,0.0,0.5,1.0,1.8,3.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0
1997,18,0.0,0.5,1.0,1.8,3.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0
1997,19,0.0,0.5,1.0,1.9,3.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0
1997,20,0.0,0.1,1.0,1.9,3.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0
1997,21,0.1,0.0,1.0,1.9,3.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0
1997,22,0.5,0.0,1.0,1.9,3.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0
1997,23,0.7,0.0,1.0,1.9,3.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1997,24,0.6,0.2,1.0,2.2,3.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1997,25,0.5,0.2,1.0,2.2,3.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0
1997,26,0.6,0.2,1.0,2.4,3.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
1997,27,1.2,0.2,1.0,2.8,3.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0
1997,28,1.7,0.2,1.0,2.9,3.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0
1997,29,1.8,0.2,1.0,2.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,30,1.6,0.6,1.0,2.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,31,1.5,,1.0,2.9,,0.0,,0.0,,0.0,0.0,
1998,01,0.0,0.0,1.6,3.8,4.2,5.3,5.6,0.0,0.0,0.0,0.0,0.0
1998,02,0.0,0.0,1.6,3.8,4.2,5.3,5.6,0.0,0.0,0.0,0.0,0.0
1998,03,0.0,0.0,2.2,3.9,4.2,5.4,5.6,0.0,0.0,0.0,0.0,0.0
1998,04,0.0,0.1,2.3,3.9,4.2,5.4,5.6,0.0,0.0,0.0,0.0,0.0
1998,05,0.0,0.1,2.3,3.9,4.2,5.5,5.6,0.0,0.0,0.0,0.0,0.0
1998,06,0.0,0.1,2.3,3.9,4.4,5.5,5.5,0.0,0.0,0.0,0.0,0.0
1998,07,0.0,0.1,2.3,3.9,4.4,5.5,5.5,0.0,0.0,0.0,0.0,0.0
1998,08,0.0,0.1,2.7,3.9,4.4,5.7,5.5,0.0,0.0,0.0,0.0,0.0
1998,09,0.0,0.1,2.9,3.9,4.7,5.7,5.6,0.0,0.0,0.0,0.0,0.0
1998,10,0.0,0.2,3.0,3.9,4.8,5.5,5.6,0.0,0.0,0.0,0.0,0.0
1998,11,0.0,0.2,3.4,4.2,4.8,5.3,5.5,0.0,0.0,0.0,0.0,0.0
1998,12,0.0,0.4,3.4,4.2,4.8,5.2,4.9,0.0,0.0,0.0,0.0,0.0
1998,13,0.0,0.4,3.4,4.2,4.8,5.3,4.6,0.0,0.0,0.0,0.0,0.0
1998,14,0.0,0.8,3.4,4.2,4.8,5.6,4.5,0.0,0.0,0.0,0.0,0.0
1998,15,0.0,1.4,3.4,4.2,4.8,5.9,4.3,0.0,0.0,0.0,0.0,0.0
1998,16,0.0,1.4,3.4,4.2,5.1,6.1,4.3,0.0,0.0,0.0,0.0,0.0
1998,17,0.0,1.4,3.4,4.2,5.1,6.7,4.1,0.0,0.0,0.0,0.0,0.0
1998,18,0.0,1.4,3.4,4.2,5.2,6.9,4.1,0.0,0.0,0.0,0.0,0.0
1998,19,0.0,1.4,3.4,4.2,5.2,7.1,4.1,0.0,0.0,0.0,0.0,0.0
1998,20,0.0,1.5,3.5,4.2,5.1,7.0,4.1,0.0,0.0,0.0,0.0,0.0
1998,21,0.0,1.5,3.5,4.2,5.3,7.0,4.0,0.0,0.0,0.0,0.0,0.0
1998,22,0.0,1.4,3.5,4.2,5.3,6.9,3.5,0.0,0.0,0.0,0.0,0.0
1998,23,0.1,1.4,3.6,4.2,5.3,6.9,2.9,0.0,0.0,0.0,0.0,0.0
1998,24,0.2,1.5,3.6,4.2,5.3,6.5,2.1,0.0,0.0,0.0,0.0,0.0
1998,25,0.1,1.4,3.7,4.2,5.3,6.1,1.3,0.0,0.0,0.0,0.0,0.0
1998,26,0.2,1.4,3.7,4.2,5.3,5.8,0.4,0.0,0.0,0.0,0.0,0.0
